run,status,error,group,alphabet_mode,alphabet_size,input_encoding,input_dim,train_len_min,train_len_max,warmup_steps,pairwise_first_acc,pairwise_compose_acc,model,condition,seed,hidden,train_seq_len,eval_seq_len,steps,train_steps_done,batch_size,val_batches,lr,params,train_acc_last,eval_loss,eval_acc,seconds_train,seconds_eval,peak_cuda_mb
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,intact,1,256,256,128,60000,60000,64,3,0.003,378198,1.0,6.132610224085511e-07,1.0,4136.4964010715485,0.1246497631072998,214.71142578125
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,intact,1,256,256,256,60000,60000,64,3,0.003,378198,1.0,1.5021744654101592e-06,1.0,4136.4964010715485,0.28255414962768555,409.13427734375
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,intact,1,256,256,512,60000,60000,64,3,0.003,378198,1.0,2.3732973204459995e-06,1.0,4136.4964010715485,3.0356414318084717,798.97998046875
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,intact,1,256,256,1024,60000,60000,12,3,0.003,378198,1.0,3.156664888592786e-06,1.0,4136.4964010715485,2.8254148960113525,312.76513671875
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,intact,1,256,256,2048,60000,60000,8,3,0.003,378198,1.0,3.514885293043335e-06,1.0,4136.4964010715485,3.1901817321777344,409.03857421875
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,intact,1,256,256,4096,60000,60000,4,3,0.003,378198,1.0,3.780167238195039e-06,1.0,4136.4964010715485,4.509737491607666,409.04638671875
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,intact,1,256,256,8192,60000,60000,4,3,0.003,378198,1.0,4.158343623809439e-06,1.0,4136.4964010715485,6.256875991821289,798.92138671875
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,intact,1,256,256,16384,60000,60000,4,3,0.003,378198,1.0,4.134608692159721e-06,1.0,4136.4964010715485,16.5765278339386,1576.67529296875
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,zero_dabsn_read,1,256,256,128,60000,60000,64,3,0.003,378198,1.0,4.9758866628011065,0.018758138020833332,4136.4964010715485,0.1442582607269287,214.7119140625
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,zero_dabsn_read,1,256,256,256,60000,60000,64,3,0.003,378198,1.0,4.959205309549968,0.018208821614583332,4136.4964010715485,0.30142712593078613,409.134765625
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,zero_dabsn_read,1,256,256,512,60000,60000,64,3,0.003,378198,1.0,4.958786328633626,0.018157958984375,4136.4964010715485,0.6891682147979736,798.98046875
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,zero_dabsn_read,1,256,256,1024,60000,60000,12,3,0.003,378198,1.0,4.962597052256267,0.017198350901405018,4136.4964010715485,0.3796558380126953,312.765625
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,zero_dabsn_read,1,256,256,2048,60000,60000,8,3,0.003,378198,1.0,4.951191107432048,0.018412272135416668,4136.4964010715485,0.7429547309875488,409.0390625
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,zero_dabsn_read,1,256,256,4096,60000,60000,4,3,0.003,378198,1.0,4.942205429077148,0.0179443359375,4136.4964010715485,1.2539098262786865,409.046875
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,zero_dabsn_read,1,256,256,8192,60000,60000,4,3,0.003,378198,1.0,4.957449118296306,0.017333984375,4136.4964010715485,3.8897931575775146,798.921875
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq,zero_dabsn_read,1,256,256,16384,60000,60000,4,3,0.003,378198,1.0,4.9550712903340655,0.017069498697916668,4136.4964010715485,13.632979393005371,1576.67578125
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq_linear,intact,1,256,256,128,60000,60000,64,3,0.003,378198,0.02587890625,4.009114424387614,0.036336263020833336,8517.494016647339,0.12949442863464355,222.70703125
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq_linear,intact,1,256,256,256,60000,60000,64,3,0.003,378198,0.02587890625,4.052632013956706,0.026204427083333332,8517.494016647339,0.3163113594055176,425.1298828125
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq_linear,intact,1,256,256,512,60000,60000,64,3,0.003,378198,0.02587890625,4.073474884033203,0.021525065104166668,8517.494016647339,0.662630558013916,830.9755859375
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq_linear,intact,1,256,256,1024,60000,60000,12,3,0.003,378198,0.02587890625,4.084052085876465,0.019395616526405018,8517.494016647339,0.989922285079956,324.7607421875
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq_linear,intact,1,256,256,2048,60000,60000,8,3,0.003,378198,0.02587890625,4.0902102788289385,0.017476399739583332,8517.494016647339,2.0256946086883545,425.0341796875
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq_linear,intact,1,256,256,4096,60000,60000,4,3,0.003,378198,0.02587890625,4.092217763264974,0.017130533854166668,8517.494016647339,4.017333030700684,425.0419921875
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq_linear,intact,1,256,256,8192,60000,60000,4,3,0.003,378198,0.02587890625,4.093810558319092,0.017059326171875,8517.494016647339,10.550559520721436,830.9169921875
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq_linear,intact,1,256,256,16384,60000,60000,4,3,0.003,378198,0.02587890625,4.0943648020426435,0.016606648763020832,8517.494016647339,26.21049404144287,1640.6708984375
ablation_a5_linear_t4_20260704_080538,ok,,A5,full60,60,onehot,60,2,256,1000,1.0,1.0,dabsn_seq_linear,zero_dabsn_read,1,256,256,128,60000,60000,64,3,0.003,378198,0.02587890625,4.353166739145915,0.021687825520833332,8517.494016647339,0.13586711883544922,222.70751953125
