task,condition,seed,hidden,train_len,eval_len,steps,lr,params,train_acc_last,eval_acc,run
copy,intact,0,48,64,64,1000,0.01,21738,0.985,0.984505,ablation_knockout_20260701_232217
copy,intact,0,48,64,128,1000,0.01,21738,0.985,0.992155,ablation_knockout_20260701_232217
copy,intact,0,48,64,256,1000,0.01,21738,0.985,0.995898,ablation_knockout_20260701_232217
copy,intact,0,48,64,512,1000,0.01,21738,0.985,0.997412,ablation_knockout_20260701_232217
copy,ko_induction,0,48,64,64,1000,0.01,21738,0.985,0.016471,ablation_knockout_20260701_232217
copy,ko_induction,0,48,64,128,1000,0.01,21738,0.985,0.016243,ablation_knockout_20260701_232217
copy,ko_induction,0,48,64,256,1000,0.01,21738,0.985,0.015088,ablation_knockout_20260701_232217
copy,ko_induction,0,48,64,512,1000,0.01,21738,0.985,0.016016,ablation_knockout_20260701_232217
copy,ko_recurrence,0,48,64,64,1000,0.01,21738,0.985,0.984766,ablation_knockout_20260701_232217
copy,ko_recurrence,0,48,64,128,1000,0.01,21738,0.985,0.992285,ablation_knockout_20260701_232217
copy,ko_recurrence,0,48,64,256,1000,0.01,21738,0.985,0.996045,ablation_knockout_20260701_232217
copy,ko_recurrence,0,48,64,512,1000,0.01,21738,0.985,0.997314,ablation_knockout_20260701_232217
copy,ko_signature,0,48,64,64,1000,0.01,21738,0.985,0.984635,ablation_knockout_20260701_232217
copy,ko_signature,0,48,64,128,1000,0.01,21738,0.985,0.99235,ablation_knockout_20260701_232217
copy,ko_signature,0,48,64,256,1000,0.01,21738,0.985,0.995898,ablation_knockout_20260701_232217
copy,ko_signature,0,48,64,512,1000,0.01,21738,0.985,0.997119,ablation_knockout_20260701_232217
s5,intact,0,64,128,64,16000,0.01,29778,0.9924,1.0,ablation_knockout_20260701_232217
s5,intact,0,64,128,128,16000,0.01,29778,0.9924,0.99126,ablation_knockout_20260701_232217
s5,intact,0,64,128,256,16000,0.01,29778,0.9924,0.989746,ablation_knockout_20260701_232217
s5,intact,0,64,128,512,16000,0.01,29778,0.9924,0.959375,ablation_knockout_20260701_232217
s5,ko_induction,0,64,128,64,16000,0.01,29778,0.9924,0.998437,ablation_knockout_20260701_232217
s5,ko_induction,0,64,128,128,16000,0.01,29778,0.9924,0.987207,ablation_knockout_20260701_232217
s5,ko_induction,0,64,128,256,16000,0.01,29778,0.9924,0.967871,ablation_knockout_20260701_232217
s5,ko_induction,0,64,128,512,16000,0.01,29778,0.9924,0.958594,ablation_knockout_20260701_232217
s5,ko_recurrence,0,64,128,64,16000,0.01,29778,0.9924,0.994043,ablation_knockout_20260701_232217
s5,ko_recurrence,0,64,128,128,16000,0.01,29778,0.9924,0.997412,ablation_knockout_20260701_232217
s5,ko_recurrence,0,64,128,256,16000,0.01,29778,0.9924,0.97168,ablation_knockout_20260701_232217
s5,ko_recurrence,0,64,128,512,16000,0.01,29778,0.9924,0.942114,ablation_knockout_20260701_232217
s5,ko_signature,0,64,128,64,16000,0.01,29778,0.9924,0.999414,ablation_knockout_20260701_232217
s5,ko_signature,0,64,128,128,16000,0.01,29778,0.9924,0.995459,ablation_knockout_20260701_232217
s5,ko_signature,0,64,128,256,16000,0.01,29778,0.9924,0.989209,ablation_knockout_20260701_232217
s5,ko_signature,0,64,128,512,16000,0.01,29778,0.9924,0.988037,ablation_knockout_20260701_232217
