model,seed,hidden,train_seq_len,eval_seq_len,steps,batch_size,n_keys,n_values,n_pairs,filler_prob,ordered_pairs,lr,params,train_loss_last,eval_loss,eval_acc,seconds_train,seconds_eval,run
dabsn_seq,0,48,64,64,2000,64,16,16,8,0.25,False,0.006,16506,6.090829742788628e-07,1.6018515225368901e-06,1.0,1367.610191822052,0.5131926536560059,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,0,48,64,128,2000,64,16,16,8,0.25,False,0.006,16506,6.090829742788628e-07,1.207724267260346e-06,1.0,1367.610191822052,0.5578107833862305,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,0,48,64,256,2000,64,16,16,8,0.25,False,0.006,16506,6.090829742788628e-07,1.0009777042796486e-06,1.0,1367.610191822052,0.7735171318054199,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,0,48,64,512,2000,64,16,16,8,0.25,False,0.006,16506,6.090829742788628e-07,1.0803241821122356e-06,1.0,1367.610191822052,1.302593469619751,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,0,48,64,1024,2000,64,16,16,8,0.25,False,0.006,16506,6.090829742788628e-07,8.881015105544066e-07,1.0,1367.610191822052,2.569139242172241,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,0,48,64,2000,2000,64,16,16,8,0.25,False,0.006,16506,6.090829742788628e-07,1.810265757740126e-06,1.0,1367.610191822052,6.100255966186523,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,0,48,64,3200,2000,64,16,16,8,0.25,False,0.006,16506,6.090829742788628e-07,1.9108433662040625e-06,1.0,1367.610191822052,12.76428508758545,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,1,48,64,64,2000,64,16,16,8,0.25,False,0.006,16506,4.250264282745775e-06,1.316499947279226e-06,1.0,1392.1389837265015,0.4980893135070801,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,1,48,64,128,2000,64,16,16,8,0.25,False,0.006,16506,4.250264282745775e-06,4.614421868609497e-06,1.0,1392.1389837265015,0.5659968852996826,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,1,48,64,256,2000,64,16,16,8,0.25,False,0.006,16506,4.250264282745775e-06,4.365102540759835e-06,1.0,1392.1389837265015,0.7626802921295166,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,1,48,64,512,2000,64,16,16,8,0.25,False,0.006,16506,4.250264282745775e-06,2.0291311102482723e-06,1.0,1392.1389837265015,1.260941982269287,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,1,48,64,1024,2000,64,16,16,8,0.25,False,0.006,16506,4.250264282745775e-06,1.4396156302609597e-06,1.0,1392.1389837265015,2.5324866771698,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,1,48,64,2000,2000,64,16,16,8,0.25,False,0.006,16506,4.250264282745775e-06,3.0939868338464294e-06,1.0,1392.1389837265015,6.078780174255371,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,1,48,64,3200,2000,64,16,16,8,0.25,False,0.006,16506,4.250264282745775e-06,4.376175638753921e-06,1.0,1392.1389837265015,12.657553672790527,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,2,48,64,64,2000,64,16,16,8,0.25,False,0.006,16506,7.181288765423233e-06,1.0192133231612388e-05,1.0,1435.1188209056854,0.5092036724090576,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,2,48,64,128,2000,64,16,16,8,0.25,False,0.006,16506,7.181288765423233e-06,1.7651545931585133e-06,1.0,1435.1188209056854,0.5571043491363525,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,2,48,64,256,2000,64,16,16,8,0.25,False,0.006,16506,7.181288765423233e-06,2.927300329247373e-06,1.0,1435.1188209056854,0.7553377151489258,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,2,48,64,512,2000,64,16,16,8,0.25,False,0.006,16506,7.181288765423233e-06,1.2255371757419198e-06,1.0,1435.1188209056854,1.2788422107696533,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,2,48,64,1024,2000,64,16,16,8,0.25,False,0.006,16506,7.181288765423233e-06,2.1089217625558376e-06,1.0,1435.1188209056854,2.536219835281372,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,2,48,64,2000,2000,64,16,16,8,0.25,False,0.006,16506,7.181288765423233e-06,1.731726683829038e-06,1.0,1435.1188209056854,6.072283506393433,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_seq,2,48,64,3200,2000,64,16,16,8,0.25,False,0.006,16506,7.181288765423233e-06,1.2048650432916475e-06,1.0,1435.1188209056854,12.679006576538086,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,0,48,64,64,2000,64,16,16,8,0.25,False,0.006,16507,6.090829742788628e-07,1.6018515225368901e-06,1.0,75.75883603096008,0.2826108932495117,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,0,48,64,128,2000,64,16,16,8,0.25,False,0.006,16507,6.090829742788628e-07,1.207724267260346e-06,1.0,75.75883603096008,0.3685338497161865,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,0,48,64,256,2000,64,16,16,8,0.25,False,0.006,16507,6.090829742788628e-07,1.0009777042796486e-06,1.0,75.75883603096008,0.5722715854644775,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,0,48,64,512,2000,64,16,16,8,0.25,False,0.006,16507,6.090829742788628e-07,1.0803241821122356e-06,1.0,75.75883603096008,1.090510606765747,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,0,48,64,1024,2000,64,16,16,8,0.25,False,0.006,16507,6.090829742788628e-07,8.881015105544066e-07,1.0,75.75883603096008,2.349609375,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,0,48,64,2000,2000,64,16,16,8,0.25,False,0.006,16507,6.090829742788628e-07,1.810265757740126e-06,1.0,75.75883603096008,5.876912593841553,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,0,48,64,3200,2000,64,16,16,8,0.25,False,0.006,16507,6.090829742788628e-07,1.9108433662040625e-06,1.0,75.75883603096008,12.522690296173096,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,1,48,64,64,2000,64,16,16,8,0.25,False,0.006,16507,4.250264282745775e-06,1.316499947279226e-06,1.0,75.35459733009338,0.2924330234527588,dabsn_thesis_20260630_033000_keyvalue_length_ood
dabsn_field,1,48,64,128,2000,64,16,16,8,0.25,False,0.006,16507,4.250264282745775e-06,4.614421868609497e-06,1.0,75.35459733009338,0.36867523193359375,dabsn_thesis_20260630_033000_keyvalue_length_ood
