model,seed,hidden,train_seq_len,eval_seq_len,steps,batch_size,n_keys,n_values,n_pairs,lr,params,train_loss_last,eval_loss,eval_acc,seconds_train,seconds_eval,run
dabsn_seq,0,48,64,64,1000,64,16,16,8,0.006,16506,2.253638513138867e-06,1.5681247077736772e-06,1.0,80.57401180267334,0.6377067565917969,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,0,48,64,128,1000,64,16,16,8,0.006,16506,2.253638513138867e-06,1.673367012244853e-06,1.0,80.57401180267334,1.1594271659851074,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,0,48,64,256,1000,64,16,16,8,0.006,16506,2.253638513138867e-06,1.971109952592087e-06,1.0,80.57401180267334,1.798992395401001,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,0,48,64,512,1000,64,16,16,8,0.006,16506,2.253638513138867e-06,2.2573692490368556e-06,1.0,80.57401180267334,3.2301883697509766,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,0,48,64,1024,1000,64,16,16,8,0.006,16506,2.253638513138867e-06,1.5267730191226292e-06,1.0,80.57401180267334,6.502529144287109,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,0,48,64,2000,1000,64,16,16,8,0.006,16506,2.253638513138867e-06,1.5349163049904746e-06,1.0,80.57401180267334,13.674040794372559,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,0,48,64,3200,1000,64,16,16,8,0.006,16506,2.253638513138867e-06,1.4293546541921387e-06,1.0,80.57401180267334,25.232473373413086,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,1,48,64,64,1000,64,16,16,8,0.006,16506,0.00013029080582782626,0.0001655318457778776,1.0,71.16701483726501,0.6226098537445068,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,1,48,64,128,1000,64,16,16,8,0.006,16506,0.00013029080582782626,6.803103351558094e-05,1.0,71.16701483726501,0.9632363319396973,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,1,48,64,256,1000,64,16,16,8,0.006,16506,0.00013029080582782626,9.762320532900049e-05,1.0,71.16701483726501,1.6069228649139404,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,1,48,64,512,1000,64,16,16,8,0.006,16506,0.00013029080582782626,3.9731170272716557e-05,1.0,71.16701483726501,3.0700271129608154,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,1,48,64,1024,1000,64,16,16,8,0.006,16506,0.00013029080582782626,4.3000360165024176e-05,1.0,71.16701483726501,6.26550030708313,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,1,48,64,2000,1000,64,16,16,8,0.006,16506,0.00013029080582782626,4.382465222079191e-05,1.0,71.16701483726501,13.542661905288696,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,1,48,64,3200,1000,64,16,16,8,0.006,16506,0.00013029080582782626,4.999492721253773e-05,1.0,71.16701483726501,24.892637014389038,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,2,48,64,64,1000,64,16,16,8,0.006,16506,2.378299313932075e-06,4.230543413541454e-06,1.0,71.30733227729797,0.6437973976135254,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,2,48,64,128,1000,64,16,16,8,0.006,16506,2.378299313932075e-06,2.0695210537269303e-06,1.0,71.30733227729797,0.9570612907409668,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,2,48,64,256,1000,64,16,16,8,0.006,16506,2.378299313932075e-06,3.2323824598279317e-06,1.0,71.30733227729797,1.6187844276428223,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,2,48,64,512,1000,64,16,16,8,0.006,16506,2.378299313932075e-06,3.8353619856934525e-06,1.0,71.30733227729797,3.0775070190429688,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,2,48,64,1024,1000,64,16,16,8,0.006,16506,2.378299313932075e-06,4.311588941163791e-06,1.0,71.30733227729797,6.2836456298828125,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,2,48,64,2000,1000,64,16,16,8,0.006,16506,2.378299313932075e-06,3.5294973940835915e-06,1.0,71.30733227729797,13.576898574829102,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_seq,2,48,64,3200,1000,64,16,16,8,0.006,16506,2.378299313932075e-06,3.828698345387238e-06,1.0,71.30733227729797,25.003639936447144,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,0,48,64,64,1000,64,16,16,8,0.006,16507,2.0255911294952966e-06,2.0186312553960307e-06,1.0,71.54933619499207,0.626861572265625,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,0,48,64,128,1000,64,16,16,8,0.006,16507,2.0255911294952966e-06,2.199369737354573e-06,1.0,71.54933619499207,0.9428279399871826,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,0,48,64,256,1000,64,16,16,8,0.006,16507,2.0255911294952966e-06,2.80683441360452e-06,1.0,71.54933619499207,1.608856439590454,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,0,48,64,512,1000,64,16,16,8,0.006,16507,2.0255911294952966e-06,3.5843906516674908e-06,1.0,71.54933619499207,3.0637505054473877,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,0,48,64,1024,1000,64,16,16,8,0.006,16507,2.0255911294952966e-06,3.832127276837127e-06,1.0,71.54933619499207,6.248301029205322,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,0,48,64,2000,1000,64,16,16,8,0.006,16507,2.0255911294952966e-06,4.389769901536056e-06,1.0,71.54933619499207,13.554515600204468,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,0,48,64,3200,1000,64,16,16,8,0.006,16507,2.0255911294952966e-06,8.081480427790665e-06,1.0,71.54933619499207,25.158679723739624,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,1,48,64,64,1000,64,16,16,8,0.006,16507,9.180832421407104e-06,0.00011033551709260792,1.0,71.45831894874573,0.639385461807251,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,1,48,64,128,1000,64,16,16,8,0.006,16507,9.180832421407104e-06,0.00015930568479234354,1.0,71.45831894874573,0.9530587196350098,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,1,48,64,256,1000,64,16,16,8,0.006,16507,9.180832421407104e-06,7.11699391104048e-05,1.0,71.45831894874573,1.6284339427947998,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,1,48,64,512,1000,64,16,16,8,0.006,16507,9.180832421407104e-06,6.7034223684459e-05,1.0,71.45831894874573,3.0617876052856445,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,1,48,64,1024,1000,64,16,16,8,0.006,16507,9.180832421407104e-06,5.2660385154013054e-05,1.0,71.45831894874573,6.3002989292144775,dabsn_thesis_20260630_012013_mqar_length_ood
dabsn_field,1,48,64,2000,1000,64,16,16,8,0.006,16507,9.180832421407104e-06,5.280210643832106e-05,1.0,71.45831894874573,13.534531593322754,dabsn_thesis_20260630_012013_mqar_length_ood
